,acc,uar,epoch,dataset
fold1,0.6242729740209384,0.6208596388664487,25,msp-improv_crema-d
fold2,0.6332105586249233,0.6114759518835073,26,msp-improv_crema-d
fold3,0.6809692074709742,0.6611582942827736,27,msp-improv_crema-d
fold4,0.6720544449170566,0.6753880232647151,28,msp-improv_crema-d
fold5,0.6089822826534816,0.62290583210316,21,msp-improv_crema-d
average,0.6438978935374748,0.6383575480801209,21,msp-improv_crema-d
