,acc,uar,epoch,dataset
fold1,0.7209756097560975,0.7268194261633395,15,crema-d
fold2,0.764021164021164,0.7391645622219836,20,crema-d
fold3,0.7279569892473118,0.7525955318971522,25,crema-d
fold4,0.7391304347826086,0.6785071821486902,25,crema-d
fold5,0.7277486910994765,0.7128699550679387,19,crema-d
average,0.7359665777813318,0.7219913314998208,19,crema-d
