,acc,uar,epoch,dataset
fold1,0.5327188940092166,0.5766717594135874,29,iemocap
fold2,0.5180840664711632,0.558193394784533,18,iemocap
fold3,0.5073848827106864,0.5110029101704306,21,iemocap
fold4,0.5295829291949563,0.5075808361637397,29,iemocap
fold5,0.5286059629331185,0.5651075694700958,12,iemocap
average,0.5232753470638282,0.5437112940004772,12,iemocap
