,acc,uar,epoch,dataset
fold1,0.6384994316028799,0.6400410220531866,28,iemocap_msp-improv
fold2,0.6112110311750599,0.6243670316701905,16,iemocap_msp-improv
fold3,0.6021798365122616,0.6253456672167994,28,iemocap_msp-improv
fold4,0.6527265272652727,0.6352734561792903,28,iemocap_msp-improv
fold5,0.587172871360118,0.6154772095819816,24,iemocap_msp-improv
average,0.6183579395831185,0.6281008773402897,24,iemocap_msp-improv
